scheme,window,replicate,w,S_GC,N,mean_k
binomial,Pre-transition,2,150,0.6230975828111012,1117,2.0680393912264994
binomial,Pre-transition,2,200,0.5544794188861986,826,1.8789346246973366
binomial,Pre-transition,2,300,0.40973630831643004,493,1.6592292089249492
binomial,Pre-transition,2,400,0.3263473053892216,334,1.4970059880239521
binomial,Pre-transition,2,600,0.17435897435897435,195,1.353846153846154
binomial,Pre-transition,2,800,0.15966386554621848,119,1.3277310924369747
binomial,Pre-transition,3,25,0.8952831906756511,5491,4.39956292114369
binomial,Pre-transition,3,50,0.8296460176991151,3164,3.218078381795196
binomial,Pre-transition,3,75,0.7833109017496636,2229,2.7510094212651413
binomial,Pre-transition,3,100,0.7468879668049793,1687,2.4611736810906937
binomial,Pre-transition,3,150,0.6132497761862131,1117,2.075201432408236
binomial,Pre-transition,3,200,0.5575757575757576,825,1.878787878787879
binomial,Pre-transition,3,300,0.4146341463414634,492,1.670731707317073
binomial,Pre-transition,3,400,0.32926829268292684,328,1.5121951219512195
binomial,Pre-transition,3,600,0.17989417989417988,189,1.3544973544973544
binomial,Pre-transition,3,800,0.125,120,1.3
binomial,Pre-transition,4,25,0.8918382087396172,5538,4.378837125315998
binomial,Pre-transition,4,50,0.831692600825659,3149,3.234042553191489
binomial,Pre-transition,4,75,0.7787253141831239,2228,2.7549371633752244
binomial,Pre-transition,4,100,0.7422985781990521,1688,2.4597156398104265
binomial,Pre-transition,4,150,0.621841155234657,1108,2.0866425992779782
binomial,Pre-transition,4,200,0.5538089480048367,827,1.8742442563482467
binomial,Pre-transition,4,300,0.4074074074074074,486,1.6666666666666667
binomial,Pre-transition,4,400,0.3212121212121212,330,1.503030303030303
binomial,Pre-transition,4,600,0.18085106382978725,188,1.3617021276595744
binomial,Pre-transition,4,800,0.125,120,1.3
binomial,Pre-transition,5,25,0.8957311534968211,5505,4.416712079927339
binomial,Pre-transition,5,50,0.8310170562223625,3166,3.220467466835123
binomial,Pre-transition,5,75,0.780952380952381,2205,2.7537414965986393
binomial,Pre-transition,5,100,0.7602131438721137,1689,2.4641799881586737
binomial,Pre-transition,5,150,0.6262353998203055,1113,2.0934411500449235
binomial,Pre-transition,5,200,0.5665445665445665,819,1.877899877899878
binomial,Pre-transition,5,300,0.41458333333333336,480,1.6625
binomial,Pre-transition,5,400,0.3153153153153153,333,1.4954954954954955
binomial,Pre-transition,5,600,0.17435897435897435,195,1.353846153846154
binomial,Pre-transition,5,800,0.1282051282051282,117,1.3162393162393162
binomial,Pre-transition,6,25,0.8912925905895078,5547,4.377140796827113
binomial,Pre-transition,6,50,0.8233627204030227,3176,3.211586901763224
binomial,Pre-transition,6,75,0.7777278850471486,2227,2.7507858105074092
binomial,Pre-transition,6,100,0.7530791788856305,1705,2.449266862170088
binomial,Pre-transition,6,150,0.6205035971223022,1112,2.068345323741007
binomial,Pre-transition,6,200,0.5658536585365853,820,1.8853658536585365
binomial,Pre-transition,6,300,0.40447154471544716,492,1.6544715447154472
binomial,Pre-transition,6,400,0.3221884498480243,329,1.4954407294832828
binomial,Pre-transition,6,600,0.17801047120418848,191,1.350785340314136
binomial,Pre-transition,6,800,0.18487394957983194,119,1.3445378151260505
binomial,Pre-transition,7,25,0.8909386869234943,5529,4.365346355579671
binomial,Pre-transition,7,50,0.8211125158027813,3164,3.202275600505689
binomial,Pre-transition,7,75,0.7749661093538184,2213,2.753727971079982
binomial,Pre-transition,7,100,0.74,1700,2.448235294117647
binomial,Pre-transition,7,150,0.6234234234234234,1110,2.0774774774774776
binomial,Pre-transition,7,200,0.5485436893203883,824,1.8737864077669903
binomial,Pre-transition,7,300,0.4069529652351738,489,1.6523517382413089
binomial,Pre-transition,7,400,0.3180428134556575,327,1.492354740061162
binomial,Pre-transition,7,600,0.17525773195876287,194,1.3505154639175259
binomial,Pre-transition,7,800,0.12396694214876033,121,1.3057851239669422
binomial,Pre-transition,8,25,0.8890902500906125,5518,4.377310619789779
binomial,Pre-transition,8,50,0.8299556681443951,3158,3.234325522482584
binomial,Pre-transition,8,75,0.7810810810810811,2220,2.7477477477477477
binomial,Pre-transition,8,100,0.7396138092451726,1709,2.4482153306026917
binomial,Pre-transition,8,150,0.640107430617726,1117,2.08952551477171
binomial,Pre-transition,8,200,0.5624242424242424,825,1.8812121212121211
binomial,Pre-transition,8,300,0.4074074074074074,486,1.6584362139917694
binomial,Pre-transition,8,400,0.3023952095808383,334,1.4850299401197604
binomial,Pre-transition,8,600,0.17708333333333334,192,1.34375
binomial,Pre-transition,8,800,0.1721311475409836,122,1.3278688524590163
binomial,Pre-transition,9,25,0.8889492753623188,5520,4.396376811594203
binomial,Pre-transition,9,50,0.8269841269841269,3150,3.2253968253968255
binomial,Pre-transition,9,75,0.7856498194945848,2216,2.7617328519855597
binomial,Pre-transition,9,100,0.7544696066746126,1678,2.469606674612634
binomial,Pre-transition,9,150,0.629193109700816,1103,2.1069809610154127
binomial,Pre-transition,9,200,0.5630354957160343,817,1.8849449204406366
binomial,Pre-transition,9,300,0.4045643153526971,482,1.6680497925311204
binomial,Pre-transition,9,400,0.31722054380664655,331,1.498489425981873
binomial,Pre-transition,9,600,0.17708333333333334,192,1.3541666666666667
binomial,Pre-transition,9,800,0.14049586776859505,121,1.322314049586777
binomial,Pre-transition,10,25,0.8975013678643079,5483,4.412547875250775
binomial,Pre-transition,10,50,0.826197272438947,3153,3.2286711068823344
binomial,Pre-transition,10,75,0.7849174475680499,2241,2.750557786702365
binomial,Pre-transition,10,100,0.7523696682464455,1688,2.4585308056872037
binomial,Pre-transition,10,150,0.618491921005386,1114,2.0646319569120286
binomial,Pre-transition,10,200,0.56062424969988,833,1.8895558223289315
binomial,Pre-transition,10,300,0.4109014675052411,477,1.6813417190775681
binomial,Pre-transition,10,400,0.3191489361702128,329,1.4954407294832828
binomial,Pre-transition,10,600,0.17894736842105263,190,1.3578947368421053
binomial,Pre-transition,10,800,0.12605042016806722,119,1.2941176470588236
binomial,Pre-transition,11,25,0.8941856265799928,5538,4.388587937883712
binomial,Pre-transition,11,50,0.8241269841269842,3150,3.236190476190476
binomial,Pre-transition,11,75,0.7845947156291984,2233,2.7648902821316614
binomial,Pre-transition,11,100,0.7582938388625592,1688,2.470379146919431
binomial,Pre-transition,11,150,0.6258992805755396,1112,2.0845323741007196
binomial,Pre-transition,11,200,0.5486618004866181,822,1.878345498783455
binomial,Pre-transition,11,300,0.41358024691358025,486,1.6748971193415638
binomial,Pre-transition,11,400,0.3242424242424242,330,1.503030303030303
binomial,Pre-transition,11,600,0.17525773195876287,194,1.3505154639175259
binomial,Pre-transition,11,800,0.12605042016806722,119,1.2941176470588236
binomial,Pre-transition,12,25,0.8932971014492753,5520,4.357971014492754
